City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,rawson,-43.3002,-65.1023,67.73,66,92,27.36,AR,1668726749
149,mount gambier,-37.8333,140.7667,61.68,58,2,8.57,AU,1668726667
150,puerto escondido,15.85,-97.0667,85.03,58,0,3.44,MX,1668726734
151,huarmey,-10.0681,-78.1522,66.56,80,89,10.13,PE,1668726796
152,banjar,-8.19,114.9675,77.83,93,100,9.53,ID,1668726796
153,ostrovnoy,68.0531,39.5131,37.58,79,100,14.83,RU,1668726797
154,hokitika,-42.7167,170.9667,67.71,65,70,7.18,NZ,1668726797
155,shingu,33.7333,135.9833,54.36,62,10,4.29,JP,1668726798
156,adrar,20.5022,-10.0711,70.92,15,0,8.68,MR,1668726799
157,christchurch,-43.5333,172.6333,61.32,91,75,11.5,NZ,1668726799
158,upernavik,72.7868,-56.1549,10.63,74,100,5.93,GL,1668726780
159,esna,25.2934,32.554,64.54,45,100,8.52,EG,1668726800
160,saskylakh,71.9167,114.0833,-32.33,100,89,3.0,RU,1668726658
161,salta,-24.7859,-65.4117,76.26,35,14,6.2,AR,1668726801
162,progreso,21.2833,-89.6667,79.11,83,99,17.76,MX,1668726802
163,norman wells,65.282,-126.8329,12.15,82,37,2.3,CA,1668726802
164,terrace,54.5163,-128.6035,39.2,62,17,3.71,CA,1668726731
165,hassleholm,56.1591,13.7664,38.75,72,87,11.77,SE,1668726803
166,celestun,20.8667,-90.4,78.4,77,100,17.47,MX,1668726804
167,atambua,-9.1061,124.8925,80.2,72,83,0.4,ID,1668726804
168,meulaboh,4.1363,96.1285,74.48,89,100,3.76,ID,1668726805
169,namuac,18.6109,121.1657,78.01,87,88,10.54,PH,1668726806
170,grootfontein,-19.5667,18.1167,73.49,40,44,6.53,NA,1668726806
171,castro,-24.7911,-50.0119,58.66,61,1,7.11,BR,1668726691
172,pacific grove,36.6177,-121.9166,67.64,69,0,5.99,US,1668726540
173,liepaja,56.5419,21.0367,28.38,93,40,8.05,LV,1668726808
174,belgrade,44.804,20.4651,49.66,92,0,1.14,RS,1668726595
175,hasaki,35.7333,140.8333,54.21,59,96,12.55,JP,1668726808
176,arroio grande,-32.2375,-53.0869,69.04,62,83,6.71,BR,1668726757
177,talnakh,69.4865,88.3972,-2.79,95,100,24.07,RU,1668726809
178,luderitz,-26.6481,15.1594,59.25,66,10,12.97,NA,1668726809
179,buchanan,5.8808,-10.0467,78.21,85,77,5.39,LR,1668726810
180,coquimbo,-29.9533,-71.3436,60.53,82,20,11.5,CL,1668726810
181,hithadhoo,-0.6,73.0833,81.09,74,43,12.53,MV,1668726811
182,rivne,50.6231,26.2274,33.08,85,84,3.85,UA,1668726811
183,los llanos de aridane,28.6585,-17.9182,65.95,62,0,5.99,ES,1668726691
184,kavieng,-2.5744,150.7967,83.97,66,100,11.21,PG,1668726812
185,ossora,59.2353,163.0719,14.94,79,3,7.54,RU,1668726812
186,fulton,33.7668,-84.4499,42.1,46,0,6.91,US,1668726616
